business_name,industry,street,street_number
Panstwowa Fabryka Tytoniowa,Government,Łucka,1
Irena Prazmowska,,Łucka,2
Okregowy Zwiazek Kooperatyw,,Łucka,4
Szymkiewicz Władysław,Adwokat/Lawyer,Łucka,9
Powiatowe Kolo Zwiazku Invaidow Wojen,,Łucka,10
Wiktor Bernasowski,Adwokat,Łucka,15
Szkoła Powszechna im. prof. Mościckiego,Government,Łucka,17
Resursa Obywatelska,Business,Łucka,19
Panstwowy Zarzad Drogowy,,Łucka,24
Armarnik Liber,,Łucka,27
Armarnik i Ska mlyn walcowy,Mill,Łucka,29
Armarnik Izaak,Mill,Łucka,34
Armarnik Lejbisz,,Łucka,34
Dawid Perelmuter,,Łucka,40
Towarzystwo Metalurgiczne - Bracia Czerniak i Ska,Business,Łucka,42
Miejscowy Urzad Miar w Kowlu,Government,Łucka,42
Centropiwo,,Łucka,44
Barwjkowski Jozef,,Łucka,45
Sejmik Pow (dod.) gabinet sekretarza,,Łucka,46
Rzymsko-Katolicki Cmentarz Parafjalny,,Łucka,64
Szpital Powiatowy Sejmiku Kowelskiego,,Łucka,78
Szpital Żydowski,Business,Łucka,85
Wolny Sklad Soli - Spoldzielnia Spozywcza,,Łucka,101
